startphrase,ending1,ending2,ending3,ending4,label,min_surprisal_gpt2,min_surprisal_t5,min_surprisal_bert
"Someone and Little someone's feet dangle over the growing crowd of zombies below. As the seats slowly drift back toward the crowd, the crazed zombies","Someone and Little someone's feet dangle over the growing crowd of zombies below. As the seats slowly drift back toward the crowd, the crazed zombies move to the ground.","Someone and Little someone's feet dangle over the growing crowd of zombies below. As the seats slowly drift back toward the crowd, the crazed zombies try to feed her.","Someone and Little someone's feet dangle over the growing crowd of zombies below. As the seats slowly drift back toward the crowd, the crazed zombies swarm out into them.","Someone and Little someone's feet dangle over the growing crowd of zombies below. As the seats slowly drift back toward the crowd, the crazed zombies turn to stare at something.",3,1,3,4
"Gradually, in tiny starts and stops, their faces come closer and closer together. Someone caresses his neck and their lips","Gradually, in tiny starts and stops, their faces come closer and closer together. Someone caresses his neck and their lips touch with an wry smile.","Gradually, in tiny starts and stops, their faces come closer and closer together. Someone caresses his neck and their lips meet a tender tender kiss.","Gradually, in tiny starts and stops, their faces come closer and closer together. Someone caresses his neck and their lips meet, gazing at each other.","Gradually, in tiny starts and stops, their faces come closer and closer together. Someone caresses his neck and their lips meet in an elegant kiss.",2,3,2,4
"Finally, they are by the water and about eight of them are sitting on the raft traveling down the water. After a certain distance, they encounter a rock and a large wave and they all","Finally, they are by the water and about eight of them are sitting on the raft traveling down the water. After a certain distance, they encounter a rock and a large wave and they all go at the same time.","Finally, they are by the water and about eight of them are sitting on the raft traveling down the water. After a certain distance, they encounter a rock and a large wave and they all continue to smile and kiss.","Finally, they are by the water and about eight of them are sitting on the raft traveling down the water. After a certain distance, they encounter a rock and a large wave and they all flip out of the raft.","Finally, they are by the water and about eight of them are sitting on the raft traveling down the water. After a certain distance, they encounter a rock and a large wave and they all scramble to dance again.",3,1,4,1
He pats someone's chest. He,He pats someone's chest. He smiles and twirls away.,He pats someone's chest. He pulls his equipment tighter.,He pats someone's chest. He closes someone's eyes.,He pats someone's chest. He glances at the woman.,4,4,3,4
He pats someone's chest. He,He pats someone's chest. He moves his index hand back.,He pats someone's chest. He closes someone's eyes.,He pats someone's chest. He pulls his equipment tighter.,He pats someone's chest. He smiles and twirls away.,4,2,2,3
Someone gently takes her hand. Someone,Someone gently takes her hand. Someone sits on a sofa in her room.,Someone gently takes her hand. Someone clutches her own neck.,Someone gently takes her hand. Someone puts his hand on her back.,"Someone gently takes her hand. Someone smirks, shaking his head.",3,3,2,1
Someone gently takes her hand. Someone,Someone gently takes her hand. Someone sighs and stands up.,Someone gently takes her hand. Someone clutches her own neck.,Someone gently takes her hand. Someone sits on a sofa in her room.,Someone gently takes her hand. Someone stretches out her finger.,1,1,4,3
"But the r. o. u. s is back atop him. It's a fierce battle, and just when we think someone can't possibly win, he","But the r. o. u. s is back atop him. It's a fierce battle, and just when we think someone can't possibly win, he has someone go and serves.","But the r. o. u. s is back atop him. It's a fierce battle, and just when we think someone can't possibly win, he knows what he has done.","But the r. o. u. s is back atop him. It's a fierce battle, and just when we think someone can't possibly win, he flips the ugly rodent clear.","But the r. o. u. s is back atop him. It's a fierce battle, and just when we think someone can't possibly win, he gives someone a drink.",3,2,4,2
Someone stares back up at the beast. He,Someone stares back up at the beast. He squeezes someone's hand.,Someone stares back up at the beast. He leans low beside a lantern.,Someone stares back up at the beast. He leans in back affectionately.,Someone stares back up at the beast. He reaches out towards someone.,4,1,1,4
Someone is cleaning the lightning sand from her face. It,Someone is cleaning the lightning sand from her face. It is running through the woods.,"Someone is cleaning the lightning sand from her face. It sits up to her side, smiling.",Someone is cleaning the lightning sand from her face. It is in the end window.,Someone is cleaning the lightning sand from her face. It jerks it toward her face.,4,1,4,1
Someone sinks his face into the bowl. Two young girls,Someone sinks his face into the bowl. Two young girls raise their arms and kiss.,"Someone sinks his face into the bowl. Two young girls stand, facing each other.",Someone sinks his face into the bowl. Two young girls sit down from the stove.,Someone sinks his face into the bowl. Two young girls lie asleep on their bed.,2,2,2,1
Someone sinks his face into the bowl. Two young girls,Someone sinks his face into the bowl. Two young girls lie asleep on their bed.,Someone sinks his face into the bowl. Two young girls raise their arms and kiss.,Someone sinks his face into the bowl. Two young girls sit down from the stove.,Someone sinks his face into the bowl. Two young girls step out of the room.,4,4,2,2
"The three are confronted by piles of rubble. Further in, they","The three are confronted by piles of rubble. Further in, they monitor the glowing inn ring.","The three are confronted by piles of rubble. Further in, they pass a convoy of data.","The three are confronted by piles of rubble. Further in, they reach a twelve degree level.","The three are confronted by piles of rubble. Further in, they see students and staff.",4,4,1,4
"On his bench, someone braces himself. He","On his bench, someone braces himself. He walks down a staircase.","On his bench, someone braces himself. He throws himself to his feet.","On his bench, someone braces himself. He lowers the bar to his chest.","On his bench, someone braces himself. He climbs up the hill's edge.",3,1,1,1
They stop and look at the top of a hill. He,They stop and look at the top of a hill. He returns to a military suv.,They stop and look at the top of a hill. He points at the screen.,They stop and look at the top of a hill. He slaps the back of a car.,They stop and look at the top of a hill. He walks up to someone.,1,2,4,2
Someone looks at someone in alarm and walks away. She,Someone looks at someone in alarm and walks away. She sits up and smiles.,Someone looks at someone in alarm and walks away. She sinks down onto the step.,Someone looks at someone in alarm and walks away. She wears a school blazer.,Someone looks at someone in alarm and walks away. She hits the glass closer.,2,1,4,1
"Someone leans her head on someone's shoulder. Awkwardly, he","Someone leans her head on someone's shoulder. Awkwardly, he looks up from his manuscript.","Someone leans her head on someone's shoulder. Awkwardly, he opens the bedroom door.","Someone leans her head on someone's shoulder. Awkwardly, he puts his hand on her arm.","Someone leans her head on someone's shoulder. Awkwardly, he holds his lips close to hers.",3,3,2,3
She offers someone her hand. He,She offers someone her hand. He leaps at the door.,She offers someone her hand. He gives her a grateful smile.,She offers someone her hand. He gazes solemnly at her son.,She offers someone her hand. He glances into her eyes.,2,4,4,2
Someone's left hand is on someone's right shoulder. His right hand,Someone's left hand is on someone's right shoulder. His right hand is only inches from its ear.,Someone's left hand is on someone's right shoulder. His right hand rests on her back.,Someone's left hand is on someone's right shoulder. His right hand is resting on a pole.,Someone's left hand is on someone's right shoulder. His right hand is growing on the ice.,2,2,2,3
She offers someone her hand. He,She offers someone her hand. He gazes solemnly at her son.,She offers someone her hand. He glances into her eyes.,She offers someone her hand. He looks lost in sad thought.,She offers someone her hand. He leaps at the door.,3,2,2,2
Someone just stares at the plate in front of her. Someone,Someone just stares at the plate in front of her. Someone puts a plate in the oven.,Someone just stares at the plate in front of her. Someone firmly look at hand.,Someone just stares at the plate in front of her. Someone stands next to her.,Someone just stares at the plate in front of her. Someone walks slowly toward someone.,3,3,4,1
"He struggles to his feet, managing to avoid the giant fuel drums sliding across the deck around him. Several more drums","He struggles to his feet, managing to avoid the giant fuel drums sliding across the deck around him. Several more drums come someone's way.","He struggles to his feet, managing to avoid the giant fuel drums sliding across the deck around him. Several more drums are addressed to it.","He struggles to his feet, managing to avoid the giant fuel drums sliding across the deck around him. Several more drums pick someone's way.","He struggles to his feet, managing to avoid the giant fuel drums sliding across the deck around him. Several more drums tumble off the field.",1,4,1,2
"His hand shakes as he cocks it. Someone stands before him, the gun","His hand shakes as he cocks it. Someone stands before him, the gun pointed at his head.","His hand shakes as he cocks it. Someone stands before him, the gun back into his neck.","His hand shakes as he cocks it. Someone stands before him, the gun tucked under his rocks.","His hand shakes as he cocks it. Someone stands before him, the gun surrounding his firm hand.",1,1,3,1
"Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone helps his son up.","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone stops his pace, then stops.","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone stands the last few steps in.","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone turns the lamp on.",4,4,4,4
"Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone stands the last few steps in.","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone stops his pace, then stops.","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone helps his son up.","Someone enters a hole in the side of the hull and films a door with an ornate leaded glass window. Powered by a small propeller, someone glides past the door.",4,4,4,4
"Someone rests his head on her shoulder. Closing his eyes, he","Someone rests his head on her shoulder. Closing his eyes, he leans over and kisses her.","Someone rests his head on her shoulder. Closing his eyes, he rises to his feet.","Someone rests his head on her shoulder. Closing his eyes, he wraps his arms around her.","Someone rests his head on her shoulder. Closing his eyes, he remembers someone's uniform.",3,3,4,1
A man and a woman are standing by a piano. The man and the woman,A man and a woman are standing by a piano. The man and the woman begin to play the pipes.,A man and a woman are standing by a piano. The man and the woman are playing the piano.,A man and a woman are standing by a piano. The man and the woman speak to the camera.,A man and a woman are standing by a piano. The man and the woman are playing with an iron.,3,2,3,2
A man and a woman are standing by a piano. The man and the woman,A man and a woman are standing by a piano. The man and the woman play the piano together.,A man and a woman are standing by a piano. The man and the woman are playing the piano.,A man and a woman are standing by a piano. The man and the woman begin to play the pipes.,A man and a woman are standing by a piano. The man and the woman are playing with an iron.,1,2,1,2
Red warriors pump their fists and wave their swords. She,Red warriors pump their fists and wave their swords. She cuts across the surface.,Red warriors pump their fists and wave their swords. She glances back at someone.,Red warriors pump their fists and wave their swords. She winks the balls on the floor.,Red warriors pump their fists and wave their swords. She holds up another attempt.,2,1,4,2
"Now, someone lies on her back. The hand grips her chin and a finger","Now, someone lies on her back. The hand grips her chin and a finger passes over her mouth.","Now, someone lies on her back. The hand grips her chin and a finger rests into her forehead.","Now, someone lies on her back. The hand grips her chin and a finger reaches into her forehead.","Now, someone lies on her back. The hand grips her chin and a finger reaches out to her thigh.",1,1,3,1
Someone pulls out and speeds through the garage. A helicopter,Someone pulls out and speeds through the garage. A helicopter flies over district 9.,Someone pulls out and speeds through the garage. A helicopter passes to the ground.,Someone pulls out and speeds through the garage. A helicopter rises from his arena.,Someone pulls out and speeds through the garage. A helicopter rises over her perimeter.,1,2,1,1
We see a couple of opening screens. We,We see a couple of opening screens. We see a man in boxing.,We see a couple of opening screens. We see gymnasts in am.,We see a couple of opening screens. We girl talks to the camera.,We see a couple of opening screens. We see the man talking again.,1,1,2,3
"Across a backyard someone, an eight - year - old boy with tossled brown hair and bright blue eyes comes running with his books. He catches up with her and they","Across a backyard someone, an eight - year - old boy with tossled brown hair and bright blue eyes comes running with his books. He catches up with her and they go to the lit room.","Across a backyard someone, an eight - year - old boy with tossled brown hair and bright blue eyes comes running with his books. He catches up with her and they start back towards the beach.","Across a backyard someone, an eight - year - old boy with tossled brown hair and bright blue eyes comes running with his books. He catches up with her and they get into his car.","Across a backyard someone, an eight - year - old boy with tossled brown hair and bright blue eyes comes running with his books. He catches up with her and they walk along down the street.",4,3,3,2
He looks up toward the second floor. Someone,He looks up toward the second floor. Someone gives him a wistful smile.,He looks up toward the second floor. Someone looks directly at it.,He looks up toward the second floor. Someone rises to greet him.,He looks up toward the second floor. Someone enters from the house.,1,3,2,4
"As someone props her cheek on her hand, someone watches her solemnly. Now in his backyard workshop, someone","As someone props her cheek on her hand, someone watches her solemnly. Now in his backyard workshop, someone drills a hole in a surfboard.","As someone props her cheek on her hand, someone watches her solemnly. Now in his backyard workshop, someone holds up a map.","As someone props her cheek on her hand, someone watches her solemnly. Now in his backyard workshop, someone lies asleep on his bed.","As someone props her cheek on her hand, someone watches her solemnly. Now in his backyard workshop, someone opens a pair of flowers.",1,2,2,1
Her eyes dart and she rises from her chair. A single car's headlights,Her eyes dart and she rises from her chair. A single car's headlights cut through the darkness.,Her eyes dart and she rises from her chair. A single car's headlights lie down the road.,Her eyes dart and she rises from her chair. A single car's headlights put on on a display screen.,Her eyes dart and she rises from her chair. A single car's headlights appear in her doorway.,1,1,1,1
Someone leans in and kisses him. Their arms twine around each other and they,Someone leans in and kisses him. Their arms twine around each other and they embrace as they embrace.,Someone leans in and kisses him. Their arms twine around each other and they sway on their feet.,Someone leans in and kisses him. Their arms twine around each other and they stare at the river below.,Someone leans in and kisses him. Their arms twine around each other and they fall into each other's arms.,2,4,1,2
Someone leans in and kisses him. Their arms twine around each other and they,Someone leans in and kisses him. Their arms twine around each other and they stare at the river below.,Someone leans in and kisses him. Their arms twine around each other and they embrace as they embrace.,Someone leans in and kisses him. Their arms twine around each other and they share a slow kiss.,Someone leans in and kisses him. Their arms twine around each other and they fall into each other's arms.,3,4,2,2
"Someone dives onto his lid, but goes nowhere. In the cemetery, darkness falls over the statue of a young girl, then the rain","Someone dives onto his lid, but goes nowhere. In the cemetery, darkness falls over the statue of a young girl, then the rain ceases as day breaks.","Someone dives onto his lid, but goes nowhere. In the cemetery, darkness falls over the statue of a young girl, then the rain curls over her racket wings.","Someone dives onto his lid, but goes nowhere. In the cemetery, darkness falls over the statue of a young girl, then the rain glows paint on their bundle.","Someone dives onto his lid, but goes nowhere. In the cemetery, darkness falls over the statue of a young girl, then the rain is turned round again.",1,4,4,1
The camera moves across the water and several people on boats and jet - skis are moving in the water near a large wave. More large waves begin to surface and a man,The camera moves across the water and several people on boats and jet - skis are moving in the water near a large wave. More large waves begin to surface and a man walks around to the table.,The camera moves across the water and several people on boats and jet - skis are moving in the water near a large wave. More large waves begin to surface and a man begins surfing the waves.,The camera moves across the water and several people on boats and jet - skis are moving in the water near a large wave. More large waves begin to surface and a man walks along the lake.,The camera moves across the water and several people on boats and jet - skis are moving in the water near a large wave. More large waves begin to surface and a man falls out of his water.,2,3,2,3
Someone notices someone watching him from a doorway. They,Someone notices someone watching him from a doorway. They wait for the first chair.,Someone notices someone watching him from a doorway. They begin to gag each other.,Someone notices someone watching him from a doorway. They walk up to her.,Someone notices someone watching him from a doorway. They turn and look away slowly.,4,3,3,3
"Later, he leaves with his helmet in hand. As he and others","Later, he leaves with his helmet in hand. As he and others enter a spiral ring.","Later, he leaves with his helmet in hand. As he and others watch, water sprays.","Later, he leaves with his helmet in hand. As he and others stare directly at the sky.","Later, he leaves with his helmet in hand. As he and others stand on overcast sky.",3,3,1,3
"Later, he leaves with his helmet in hand. As he and others","Later, he leaves with his helmet in hand. As he and others watch, water sprays.","Later, he leaves with his helmet in hand. As he and others stand on overcast sky.","Later, he leaves with his helmet in hand. As he and others enter a spiral ring.","Later, he leaves with his helmet in hand. As he and others reach a meeting room.",4,4,3,4
"On the couch in the study, someone dances around in circles. Back in the bathroom, someone","On the couch in the study, someone dances around in circles. Back in the bathroom, someone blots his face with a towel.","On the couch in the study, someone dances around in circles. Back in the bathroom, someone pulls on his fake rucksack.","On the couch in the study, someone dances around in circles. Back in the bathroom, someone lies on a sofa watching tv.","On the couch in the study, someone dances around in circles. Back in the bathroom, someone drapes a hand over his face.",1,4,2,3
"On the couch, someone grimaces madly. Someone","On the couch, someone grimaces madly. Someone looks around at the duct.","On the couch, someone grimaces madly. Someone watches the video feed.","On the couch, someone grimaces madly. Someone stands before the casket.","On the couch, someone grimaces madly. Someone falls off the couch.",4,4,3,3
And she heads out quickly. Someone,"And she heads out quickly. Someone watches her go, baffled.",And she heads out quickly. Someone takes off the bracelet.,And she heads out quickly. Someone is picked out for her late.,And she heads out quickly. Someone takes the kitten out.,1,2,4,2
"Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone ties him up and laughs.","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone kisses his lips wryly.","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone touches on his helmet.","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone looks on, in stunned horror.",4,1,2,1
"Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone ties him up and laughs.","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone kicks his gun out of hand.","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone touches on his helmet.","Someone, swimming in the Bug's intestinal fluid, tries to make his way to the gun, Holding his breath. Someone kisses his lips wryly.",2,1,4,1
The Bug just keeps moving toward the ladder. Someone,The Bug just keeps moving toward the ladder. Someone is singing on the phone.,The Bug just keeps moving toward the ladder. Someone has closed the door.,The Bug just keeps moving toward the ladder. Someone thrusts his horn furiously.,The Bug just keeps moving toward the ladder. Someone opens the chamber for vodka.,2,2,2,1
"Someone removes his coat as a doctor approaches him, then turns to see a priest. Someone","Someone removes his coat as a doctor approaches him, then turns to see a priest. Someone nods and looks down.","Someone removes his coat as a doctor approaches him, then turns to see a priest. Someone steps on the cross.","Someone removes his coat as a doctor approaches him, then turns to see a priest. Someone enters with a folder.","Someone removes his coat as a doctor approaches him, then turns to see a priest. Someone takes it from someone.",3,1,2,3
"A bull is in a ring, looking at the bullfighters on the outside. A bunch of fighters","A bull is in a ring, looking at the bullfighters on the outside. A bunch of fighters wait in the sky.","A bull is in a ring, looking at the bullfighters on the outside. A bunch of fighters fly kites overhead in a sky.","A bull is in a ring, looking at the bullfighters on the outside. A bunch of fighters are back in the sky watching.","A bull is in a ring, looking at the bullfighters on the outside. A bunch of fighters walk up behind it.",4,4,4,1
The knife sticks in the tray. His hands,The knife sticks in the tray. His hands slide down the blade.,The knife sticks in the tray. His hands fly in the air.,The knife sticks in the tray. His hands send up a frost diamond.,The knife sticks in the tray. His hands are in the bowl on his lap.,1,2,1,2
"People watch the vehicle, a van, drive between the jumble of cars in front of the diner. Someone","People watch the vehicle, a van, drive between the jumble of cars in front of the diner. Someone sits at his front.","People watch the vehicle, a van, drive between the jumble of cars in front of the diner. Someone gives someone a dark look.","People watch the vehicle, a van, drive between the jumble of cars in front of the diner. Someone is at the passenger cabin.","People watch the vehicle, a van, drive between the jumble of cars in front of the diner. Someone steps into the house.",2,4,4,4
His hands slide down the blade. The knife,His hands slide down the blade. The knife writhes with agony.,His hands slide down the blade. The knife drops to the floor.,His hands slide down the blade. The knife bounces above the head.,His hands slide down the blade. The knife hits it's nostrils.,2,2,1,2
His hands slide down the blade. The knife,His hands slide down the blade. The knife hits it's nostrils.,His hands slide down the blade. The knife slashes down his abdomen.,His hands slide down the blade. The knife bounces above the head.,His hands slide down the blade. The knife writhes with agony.,2,4,4,4
"Now at the studio, a camera's viewfinder shows someone in a gorilla suit. As someone crosses off items on a list, someone","Now at the studio, a camera's viewfinder shows someone in a gorilla suit. As someone crosses off items on a list, someone smiles and steps on.","Now at the studio, a camera's viewfinder shows someone in a gorilla suit. As someone crosses off items on a list, someone heads into their office.","Now at the studio, a camera's viewfinder shows someone in a gorilla suit. As someone crosses off items on a list, someone gazes adoringly at his wife.","Now at the studio, a camera's viewfinder shows someone in a gorilla suit. As someone crosses off items on a list, someone steps into a pose.",4,4,4,4
"Smirking, someone strides out of the room. Someone","Smirking, someone strides out of the room. Someone turns back to his coworker.","Smirking, someone strides out of the room. Someone holds up a phone receiver.","Smirking, someone strides out of the room. Someone sags against a wall.","Smirking, someone strides out of the room. Someone is in his early fifties.",3,3,4,1
A burst of roiling flames fills the room. A crystal chandelier,A burst of roiling flames fills the room. A crystal chandelier spreads in the air.,A burst of roiling flames fills the room. A crystal chandelier hangs by the doors.,A burst of roiling flames fills the room. A crystal chandelier hangs from a small branch.,A burst of roiling flames fills the room. A crystal chandelier crashes to the ground.,4,4,2,4
"As the barrage of bullets kills the men inside, smoking casings pop out of her gun and shower the ground. Someone","As the barrage of bullets kills the men inside, smoking casings pop out of her gun and shower the ground. Someone smiles for her son.","As the barrage of bullets kills the men inside, smoking casings pop out of her gun and shower the ground. Someone stubs on the cigarette.","As the barrage of bullets kills the men inside, smoking casings pop out of her gun and shower the ground. Someone aims the swords at someone.","As the barrage of bullets kills the men inside, smoking casings pop out of her gun and shower the ground. Someone leads his boss away.",4,1,1,1
"Meanwhile, someone slumps against a wall in the compartment. Setting his tinted glasses on the shelf, someone","Meanwhile, someone slumps against a wall in the compartment. Setting his tinted glasses on the shelf, someone rests his mouth on her neck.","Meanwhile, someone slumps against a wall in the compartment. Setting his tinted glasses on the shelf, someone looks over his shoulder.","Meanwhile, someone slumps against a wall in the compartment. Setting his tinted glasses on the shelf, someone screws down the volume again.","Meanwhile, someone slumps against a wall in the compartment. Setting his tinted glasses on the shelf, someone lets out a whisper.",2,2,2,4
He watches a home video of his father and son playing football. Someone,He watches a home video of his father and son playing football. Someone grins at the gould.,He watches a home video of his father and son playing football. Someone holds someone's hand.,He watches a home video of his father and son playing football. Someone puts the bat in his pocket.,He watches a home video of his father and son playing football. Someone walks in the door.,4,4,2,4
Someone slams him through the glass into the bedroom. Someone,Someone slams him through the glass into the bedroom. Someone gets out and walks closer.,Someone slams him through the glass into the bedroom. Someone feels over the peg.,Someone slams him through the glass into the bedroom. Someone indicates at the door.,Someone slams him through the glass into the bedroom. Someone puts someone in a chokehold.,4,4,3,4
"A man is sitting behind two congas with one shoulder rolled up. After he finishes talking, he","A man is sitting behind two congas with one shoulder rolled up. After he finishes talking, he starts to play his saxophone.","A man is sitting behind two congas with one shoulder rolled up. After he finishes talking, he starts to play hockey.","A man is sitting behind two congas with one shoulder rolled up. After he finishes talking, he speaks and gives a thumbs up.","A man is sitting behind two congas with one shoulder rolled up. After he finishes talking, he begins hitting the conga.",4,2,2,1
He is in his kayak paddling downstream. Another rower,He is in his kayak paddling downstream. Another rower appears in the sky.,He is in his kayak paddling downstream. Another rower sets someone's feet nearby.,He is in his kayak paddling downstream. Another rower flies through the air.,He is in his kayak paddling downstream. Another rower appears on the screen.,4,3,1,4
A speed camera snaps a picture of someone as he hurtles through a red light. The guys,"A speed camera snaps a picture of someone as he hurtles through a red light. The guys look down at him, seething.",A speed camera snaps a picture of someone as he hurtles through a red light. The guys seemed to be blown away.,A speed camera snaps a picture of someone as he hurtles through a red light. The guys look out into the night sky.,A speed camera snaps a picture of someone as he hurtles through a red light. The guys peers down at hogwarts.,1,3,4,2
"He forces it to turn, but still nothing happens. Someone","He forces it to turn, but still nothing happens. Someone stares at the screen.","He forces it to turn, but still nothing happens. Someone finishes the back door.","He forces it to turn, but still nothing happens. Someone turns and looks around.","He forces it to turn, but still nothing happens. Someone stomps out of his way.",1,1,3,1
"Someone hesitates, then begins. And someone","Someone hesitates, then begins. And someone follows close to someone.","Someone hesitates, then begins. And someone goes back to him.","Someone hesitates, then begins. And someone slowly takes the telegram.","Someone hesitates, then begins. And someone is desperate for someone.",2,2,4,3
"Someone hesitates, then begins. And someone","Someone hesitates, then begins. And someone slowly takes the telegram.","Someone hesitates, then begins. And someone is desperate for someone.","Someone hesitates, then begins. And someone has drawn himself up.","Someone hesitates, then begins. And someone follows close to someone.",3,2,3,1
They have all been taken by surprise by the offer - - and do not feel what someone feels. Someone,They have all been taken by surprise by the offer - - and do not feel what someone feels. Someone has completed his shot.,They have all been taken by surprise by the offer - - and do not feel what someone feels. Someone feels very proud by someone.,They have all been taken by surprise by the offer - - and do not feel what someone feels. Someone looks in her direction.,They have all been taken by surprise by the offer - - and do not feel what someone feels. Someone won't let her pass.,3,3,1,3
A man is standing inside a room. He,A man is standing inside a room. He is holding a big saxophone.,A man is standing inside a room. He is playing a violin slowly.,A man is standing inside a room. He is peeling a piece of wood.,A man is standing inside a room. He is holding a tattoo knife.,2,4,2,1
A man is standing inside a room. He,A man is standing inside a room. He is holding a tattoo knife.,A man is standing inside a room. He is peeling a piece of wood.,A man is standing inside a room. He is holding a big saxophone.,A man is standing inside a room. He talks to the camera.,4,4,4,4
"He helplessly looks up at his older brother, someone. Carrying a small axe, tall, dark - haired, unshaven someone","He helplessly looks up at his older brother, someone. Carrying a small axe, tall, dark - haired, unshaven someone creeps across the farmhouse.","He helplessly looks up at his older brother, someone. Carrying a small axe, tall, dark - haired, unshaven someone plays with a plate of plants.","He helplessly looks up at his older brother, someone. Carrying a small axe, tall, dark - haired, unshaven someone leads his way off a spear.","He helplessly looks up at his older brother, someone. Carrying a small axe, tall, dark - haired, unshaven someone peers on the brick wall.",1,1,1,2
"He closes his eyes as he clutches his daughter, then opens them with a fearful look. Someone","He closes his eyes as he clutches his daughter, then opens them with a fearful look. Someone gives a weary blink.","He closes his eyes as he clutches his daughter, then opens them with a fearful look. Someone watches from a window.","He closes his eyes as he clutches his daughter, then opens them with a fearful look. Someone turns and walks off.","He closes his eyes as he clutches his daughter, then opens them with a fearful look. Someone stares at the moon.",2,2,4,4
The sisters smile at each other. Now someone,The sisters smile at each other. Now someone takes down the damaged guys.,The sisters smile at each other. Now someone enters in the suit.,The sisters smile at each other. Now someone stares at someone's host.,The sisters smile at each other. Now someone is walking down a staircase.,4,4,2,4
The credits of the clip are shown. A guy,The credits of the clip are shown. A guy shoots a toy gun.,The credits of the clip are shown. A guy is stretching off a bar.,The credits of the clip are shown. A guy rolls from a pad bike.,The credits of the clip are shown. A guy is working at the wall.,1,1,1,4
We see a man making shots in hockey with title screens in between. A man shoots a shot at hockey and makes it and we,We see a man making shots in hockey with title screens in between. A man shoots a shot at hockey and makes it and we return to the score.,We see a man making shots in hockey with title screens in between. A man shoots a shot at hockey and makes it and we see a slow motion recap.,We see a man making shots in hockey with title screens in between. A man shoots a shot at hockey and makes it and we see a ball reach for a boy.,We see a man making shots in hockey with title screens in between. A man shoots a shot at hockey and makes it and we see the shot men.,2,1,4,1
"The ambulance pulls away from the chaos outside the hotel. In the speeding hatchback, someone","The ambulance pulls away from the chaos outside the hotel. In the speeding hatchback, someone steps up to his hug.","The ambulance pulls away from the chaos outside the hotel. In the speeding hatchback, someone answers his cell phone.","The ambulance pulls away from the chaos outside the hotel. In the speeding hatchback, someone ducks into a classroom.","The ambulance pulls away from the chaos outside the hotel. In the speeding hatchback, someone points off another roof.",2,2,4,3
Someone closes her eyes and leans her head to rest against the giant's shoulder. They,Someone closes her eyes and leans her head to rest against the giant's shoulder. They lie on her side.,Someone closes her eyes and leans her head to rest against the giant's shoulder. They smile and he tickles her.,Someone closes her eyes and leans her head to rest against the giant's shoulder. They walk to the front door.,Someone closes her eyes and leans her head to rest against the giant's shoulder. They watches with lovelorn eyes.,2,3,4,3
"Sitting beside her, he gives her a rose. Dressed in a chauffeur's uniform, someone","Sitting beside her, he gives her a rose. Dressed in a chauffeur's uniform, someone stares at someone's face.","Sitting beside her, he gives her a rose. Dressed in a chauffeur's uniform, someone offers him a ring beaming.","Sitting beside her, he gives her a rose. Dressed in a chauffeur's uniform, someone turns forward and drives off.","Sitting beside her, he gives her a rose. Dressed in a chauffeur's uniform, someone leads his men together.",3,1,4,2
The servants close the doors. The beautiful blonde - haired young woman,The servants close the doors. The beautiful blonde - haired young woman feeds herself a concertina.,The servants close the doors. The beautiful blonde - haired young woman produces a long white goat.,The servants close the doors. The beautiful blonde - haired young woman shifts her gaze to someone.,The servants close the doors. The beautiful blonde - haired young woman points a hand at someone.,3,4,1,3
The servants close the doors. The beautiful blonde - haired young woman,The servants close the doors. The beautiful blonde - haired young woman points a hand at someone.,The servants close the doors. The beautiful blonde - haired young woman produces a long white goat.,The servants close the doors. The beautiful blonde - haired young woman rises on the couch.,The servants close the doors. The beautiful blonde - haired young woman feeds herself a concertina.,3,3,4,4
Man scraps off the excess grout. Man,Man scraps off the excess grout. Man grabs a mound of snow.,Man scraps off the excess grout. Man looks toward the countertop.,Man scraps off the excess grout. Man hits the wax down a spike.,Man scraps off the excess grout. Man spots it to go inside.,2,1,2,2
