,type,startphrase,ending1,ending2,ending3,ending4,label,bert_average_surprisal_prediction,bert_max_word_surprisal_prediction,bert_max_words_each_ending,gpt2_average_surprisal_prediction,gpt2_max_word_surprisal_prediction,gpt2_max_words_each_ending,t5_average_surprisal_prediction,t5_max_word_surprisal_prediction,t5_max_words_each_ending
1672,o,The boy is dribbling the ball down the court. He,scores the touchdown,passes the ball to his mom in the stands,shoots the ball into the goal,shoots the ball and scores,4,3,3,"['touchdown', 'stands', 'goal', 'scores']",2,2,"[' scores', ' passes', ' shoots', ' shoots']",2,1,"['scores', 'stands', 'shoots', 'shoots']"
1673,o,John goes for a run outside because he wants to lose weight. He,should get a girlfriend instead,should run inside since its the same thing,will lose weight if he keeps exercising like this consistently,should lose weight by eating healthy and not exercise at all ever,3,3,2,"['instead', 'thing', 'consistently', 'ever']",3,2,"[' girlfriend', ' its', ' consistently', ' ever']",4,2,"['a', 'its', 'if', 'ever']"
1674,o,A man found a hair in his soup. The man,"ate the hair, leaving the soup untouched.",politely asked for a replacement.,poured the soup all over the waiter's hair.,forced the waiter to drink the soup.,2,1,4,"['untouched', 'replacement', 'waiters', 'soup']",1,1,"[' ate', ' politely', ' waiter', ' forced']",4,1,"['ate', 'politely', 'waiters', 'waiter']"
1675,o,Jimmy gets into a bad car crash and doesn't have any health or auto insurance. He,is injured,should call the police the next day,will have to pay a lot of money to cover the cost,should call his mom about the issue,3,3,3,"['injured', 'day', 'cost', 'issue']",3,3,"[' injured', ' should', ' will', ' should']",2,2,"['injured', 'should', 'a', 'issue']"
1676,r,Christine walks her dog in the rain without an umbrella or coat. The dog,likes the rain,is happy to be walking,is holding the umbrella and coat,is probably wet,4,1,1,"['rain', 'walking', 'coat', 'wet']",2,2,"[' likes', ' happy', ' coat', ' wet']",2,2,"['likes', 'happy', 'holding', 'wet']"
1677,o,Josie's computer has a virus. She should,break her laptop so she doesn't have a virus anymore,get it fixed from a store,ignore the virus and risk her information,demand her friends to fix is for her,2,2,4,"['doesnt', 'store', 'information', 'is']",1,2,"[' break', ' store', ' information', ' is']",3,3,"['doesnt', 'a', 'risk', 'is']"
1678,o,Mark wants to become a professional basketball player. He should,practice everyday,watch a lot of basketball,lie about his stats and demand to play college basketball,shoot a sock like a basketball every time,1,2,2,"['everyday', 'basketball', 'basketball', 'sock']",2,2,"[' everyday', ' watch', ' lie', ' sock']",2,1,"['everyday', 'a', 'stats', 'sock']"
1679,r,A parakeet lives in my neighbor's house. The parakeet,does math homework.,takes a bath in a sink.,runs outside chasing a ball.,dances on the streets.,2,2,2,"['homework', 'sink', 'ball', 'streets']",2,2,"[' math', ' takes', ' chasing', ' dances']",1,1,"['math', 'a', 'chasing', 'dances']"
1680,o,The child received a red envelope on Chinese New Year. The envelope,was actually green.,contained an invitation letter to a party.,flew out the window.,contained around three dollars.,4,3,3,"['green', 'party', 'window', 'dollars']",2,2,"[' green', ' party', ' flew', ' around']",1,1,"['actually', 'a', 'flew', 'dollars']"
1681,n,Sally can't fall asleep. She should,just not sleep,take melatonin,take a bath to wake up,sleep next week,2,3,3,"['sleep', 'melatonin', 'up', 'week']",3,3,"[' not', ' mel', ' wake', ' week']",3,1,"['just', 'melatonin', 'a', 'next']"
1682,o,A girl is reading a book on unicorns on her porch. The girl,flies through the door.,sees a unicorn in her backyard.,is approached by a fairy.,decides she likes dragons better.,4,1,1,"['door', 'backyard', 'fairy', 'better']",2,2,"[' flies', ' sees', ' approached', ' dragons']",3,3,"['flies', 'sees', 'a', 'dragons']"
1683,o,Sage likes cooking but is bad at it. She should,practice cooking more,never cook again then,quit cooking early and find something she is good at,pay someone to cook all her meals for the rest of her life,1,4,1,"['more', 'then', 'at', 'life']",4,1,"[' practice', ' then', ' early', ' pay']",4,1,"['practice', 'then', 'quit', 'pay']"
1684,o,Alice walked home with a slump in her shoulders after failing a test. Alice,questioned her own ethics.,was scared of seeing her dog happy.,was afraid her parents would scold her.,laughed at her brother for getting a perfect score.,3,4,4,"['ethics', 'happy', 'scold', 'score']",3,3,"[' Alice', ' happy', ' sc', ' Alice']",4,2,"['questioned', 'happy', 'scold', 'a']"
1685,o,Johnny wants to go to Korea but lost his passport. He should,buy a ticket to Korea and travel there,get on a plan to go to Korea,pay someone to fake a passport,get a new passport,4,1,2,"['there', 'korea', 'passport', 'passport']",4,4,"[' buy', ' plan', ' fake', ' get']",1,1,"['a', 'a', 'a', 'a']"
1686,o,Bob was playing video games when he was supposed to be studying and heard his parents come home. Bob,stuffed himself full of cake.,will buy a lot of video games tomorrow.,threw the game controller out the window.,ran to his textbook.,4,3,3,"['cake', 'tomorrow', 'window', 'textbook']",3,3,"[' stuffed', ' tomorrow', ' Bob', ' textbook']",2,2,"['stuffed', 'buy', 'threw', 'textbook']"
1687,o,A girl is playing the role of Juliet in the play Romeo and Juliet. The girl,eats a lemon.,dances with her sister.,is scolded by her mother for drinking.,practices her lines everyday.,4,1,1,"['lemon', 'sister', 'scolded', 'everyday']",3,2,"[' eats', ' dances', ' sc', ' practices']",2,4,"['eats', 'dances', 'scolded', 'lines']"
1688,o,Kim is going through depression. He is,happy,skipping all of his classes,breaking up with his dad,probably sad,4,3,1,"['happy', 'classes', 'dad', 'sad']",3,1,"[' happy', ' skipping', ' breaking', ' sad']",3,3,"['happy', 'skipping', 'breaking', 'sad']"
1689,o,"Cory is happy he is getting married. Right after, he is",going on his honeymoon,sad he got married,getting married again because he is happy,deciding to file a divorce,1,3,2,"['honeymoon', 'married', 'happy', 'divorce']",1,1,"[' on', ' sad', ' because', ' deciding']",1,1,"['his', 'he', 'he', 'deciding']"
1690,o,A boy is researching Japanese food for his research paper. The boy,eats his research paper.,buys a cat from the grocery store.,braids his hair.,watches a sushi documentary.,4,2,3,"['paper', 'store', 'hair', 'sushi']",2,1,"[' research', ' cat', ' bra', ' documentary']",2,4,"['eats', 'buys', 'braids', 'a']"
1691,o,Ethan cheated on his exam and got caught. He,will face consequences,got lucky he wasn't caught for other exams,will probably continue cheating,never cheats ever,1,1,1,"['consequences', 'wasnt', 'cheating', 'ever']",2,3,"[' consequences', ' lucky', ' continue', ' che']",1,1,"['consequences', 'wasnt', 'cheating', 'cheats']"
1692,o,Three children are watching Frozen on TV. The children,put an old hat on a snowman.,freeze to death.,scream for candy.,"sing the song ""Let It Go"".",4,4,4,"['snowman', 'death', 'candy', 'go']",4,4,"[' put', ' freeze', ' candy', ' sing']",4,2,"['snowman', 'freeze', 'scream', 'Let']"
1693,o,Justin is at a swimming race and gets ready. He,can't wait to start jumping into the pool,swims into his dreams,waits for the start sound and prepares,waits for his mom to watch him swim,3,1,1,"['cant', 'swims', 'prepares', 'swim']",1,1,"[' jumping', ' dreams', ' sound', ' waits']",1,1,"['cant', 'swims', 'prepares', 'waits']"
1694,o,Charles has a lot of coding interviews lined up. He,codes a lot in his dreams and doesn't remember them,studies a lot for them,forgets about his interviews,prepares much in advance by going on a trip to Mexico,2,4,4,"['doesnt', 'them', 'forgets', 'mexico']",4,4,"[' codes', ' studies', ' forg', ' prepares']",4,2,"['doesnt', 'a', 'forgets', 'prepares']"
1695,o,A student insulted the professor on a written exam. The student,wanted to be best friends with the professor.,was given a stern talking to.,was invited to the professor's house for a movie night.,ate carrots for breakfast.,2,1,1,"['professor', 'to', 'night', 'breakfast']",1,2,"[' best', ' talking', ' movie', ' ate']",1,1,"['best', 'stern', 'professors', 'carrots']"
1696,o,A cat watched the koi with a watchful eye. The cat,swiped at it with a paw.,offered steak to the koi.,watched a movie with the fish.,danced around its food bowl.,1,1,3,"['paw', 'koi', 'fish', 'bowl']",1,3,"[' sw', ' steak', ' fish', ' danced']",3,3,"['swiped', 'koi', 'a', 'danced']"
1697,o,Ronald is tired but passes by Starbucks. He,stops being tired,exercises so he can wake up,buys himself water,gets coffee,4,2,4,"['tired', 'up', 'water', 'coffee']",2,4,"[' being', ' exercises', ' water', ' coffee']",2,1,"['stops', 'exercises', 'buys', 'coffee']"
1698,o,The man wears a suit for his interview. He feels,like he is wearing a tight dress,like he is about to cry,well dressed,tired,3,2,2,"['dress', 'cry', 'dressed', 'tired']",2,2,"[' tight', ' cry', ' well', ' feels']",2,3,"['a', 'he', 'dressed', 'tired']"
1699,o,Diana has to buy bandages for herself. She,gets them from a convenience store,buys bandages from a drug dealer,forgets about the bandages,goes to a store to buy water,1,4,3,"['store', 'dealer', 'forgets', 'water']",3,4,"[' convenience', ' buys', ' forg', ' store']",4,1,"['a', 'bandages', 'forgets', 'a']"
1700,o,Joseph really hates economics and wants to switch majors. He,contemplates for a week before deciding.,wishes he wasn't a student,hates everything,decides to drop out of college,1,4,4,"['contemplates', 'wasnt', 'everything', 'college']",4,3,"[' contem', ' wishes', ' everything', ' decides']",4,3,"['contemplates', 'wasnt', 'hates', 'decides']"
1701,o,"The boy watches his favorite Disney show, Ratatouille. The boy",eats a potato.,wants to visit Disneyland next winter break.,is banned from watching movies.,angrily shouts that Disney is a terrible company.,2,4,1,"['potato', 'break', 'movies', 'company']",3,1,"[' potato', ' break', ' banned', ' angrily']",3,3,"['eats', 'break', 'movies', 'angrily']"
1702,r,A mother played Mozart music for her newborn baby. The baby,gurgled and fell asleep.,composed a violin concerto.,waltzed to the beat in perfect step.,ran backwards like a cow.,1,4,4,"['gurgled', 'concerto', 'waltzed', 'cow']",1,3,"[' g', ' composed', ' w', ' backwards']",2,2,"['gurgled', 'concerto', 'waltzed', 'backwards']"
1703,o,A child asks his parents for a pet monkey. The child,enjoys watching them at the zoo.,wants to pet cats and dogs at the park.,hates monkeys and pets.,is actually a pet monkey in disguise.,1,2,2,"['zoo', 'park', 'pets', 'disguise']",4,4,"[' enjoys', ' cats', ' hates', ' actually']",2,2,"['zoo', 'pet', 'hates', 'a']"
1704,o,Brian cooked roast lamb in the oven for too long and could smell it burning. Brian,gave it to a cow to eat.,had to start over.,ate the oven.,washed the lamb in the bathtub.,2,1,1,"['eat', 'over', 'oven', 'bathtub']",2,2,"[' Brian', ' start', ' oven', ' washed']",2,2,"['a', 'over', 'ate', 'washed']"
1705,o,Susie yelled at Jon in front of her house. Susie,apologized to her house.,forgot that Jon was in California.,thanked him for bringing her flowers.,was mad at him for forgetting their anniversary.,4,4,4,"['house', 'california', 'flowers', 'anniversary']",3,1,"[' apologized', ' forgot', ' thanked', ' forgetting']",2,2,"['apologized', 'California', 'thanked', 'forgetting']"
1706,,Storm clouds are rolling in. It,rolls down the lawn.,is a sunny day.,looks like it will rain cats and dogs.,will not rain today.,3,3,1,"['lawn', 'day', 'dogs', 'today']",2,2,"[' rolls', ' sunny', ' cats', ' rain']",3,3,"['lawn', 'a', 'cats', 'today']"
1707,o,Joe has committed a crime. The state,provides a pension.,is Iowa.,gives him a cookie.,takes him in for questioning.,4,4,1,"['pension', 'iowa', 'cookie', 'questioning']",4,4,"[' pension', ' Iowa', ' cookie', ' takes']",4,1,"['a', 'Iowa', 'a', 'questioning']"
1708,n,Two lines are parallel to each other. They,are perpendicular to each other.,intersect each other.,are not perpendicular to each other.,have the same length.,3,3,1,"['other', 'other', 'other', 'length']",1,4,"[' perpendicular', ' intersect', ' perpendicular', ' length']",4,4,"['perpendicular', 'intersect', 'perpendicular', 'length']"
1709,o,Mary gets stung by a jellyfish. Her friend,returns the football.,curls up near the fire.,eats a cuttlefish.,pees on her.,4,2,2,"['football', 'fire', 'cuttlefish', 'pees']",4,4,"[' football', ' curls', ' eats', '.']",2,1,"['football', 'curls', 'cuttlefish', 'pees']"
1710,o,The war resulted in significant collateral damage. Many,caught the frisbee.,teapots were broken.,signaled left and moved into the passing lane.,innocent civilians were killed.,4,4,4,"['frisbee', 'teapots', 'lane', 'killed']",4,4,"[' caught', ' te', ' signaled', ' innocent']",4,4,"['frisbee', 'teapots', 'signaled', 'innocent']"
1711,o,As they were driving the coffin fell out of their vehicle. The driver said,where's the airport?,let's eat a coffin.,let's catch the frisbee.,we need to get it back in the hearse.,4,4,2,"['wheres', 'coffin', 'frisbee', 'hearse']",4,1,"[' airport', ' let', ' let', ' hear']",4,1,"['wheres', 'eat', 'frisbee', 'hearse']"
1712,o,Their grandmother passed away suddenly. They,went to her pass.,went to her lobster.,went to her funeral.,went to her her.,3,3,4,"['pass', 'lobster', 'funeral', 'her']",3,3,"[' pass', ' lobster', ' funeral', ' her']",3,3,"['pass', 'lobster', 'funeral', 'her']"
1713,o,"The people voted to legalize weed. Thus,",weedkiller was unnecessary in the garden.,weed voted to legalize people.,cannabis stocks skyrocketed.,weed ate weed.,3,1,4,"['weedkiller', 'people', 'skyrocketed', 'weed']",2,3,"['killer', ' voted', ' Thus', ' ate']",1,2,"['weedkiller', 'weed', 'skyrocketed', 'weed']"
1714,i,"John went inside to get his umbrella and boots. John,",thought it would rain cats and dogs.,loved getting rained on.,"boots, rain, and umbrella.",bought a new rain.,1,1,1,"['dogs', 'on', 'umbrella', 'rain']",3,4,"[' cats', ' loved', ' boots', ' bought']",1,3,"['rain', 'rained', 'rain', 'a']"
1715,o,There are a large number of predators in the African Savanna. The impala,is one of these predators.,drove down the street.,kills for sport in this ecosystem.,is constantly aware of its surroundings to survive.,4,4,2,"['predators', 'street', 'ecosystem', 'survive']",1,1,"[' these', ' drove', ' kills', ' aware']",1,4,"['predators', 'drove', 'kills', 'surroundings']"
1716,o,"John was hungry. John,",washed his car.,hungry John hungry John.,calls his dog John.,calls Papa John's.,4,2,2,"['car', 'john', 'john', 'johns']",2,2,"[' washed', ' John', ' calls', ' calls']",2,2,"['washed', 'hungry', 'calls', 'Johns']"
1717,p,"Mary is tired. Mary,",calls dog tired Mary.,changes the tires on her car.,tired Mary dog eats Mary.,goes to Starbucks.,4,2,3,"['mary', 'car', 'mary', 'starbucks']",2,4,"[' calls', ' changes', ' dog', ' Starbucks']",2,4,"['dog', 'changes', 'eats', 'Starbucks']"
1718,p,"Mary is tired. Mary,",changes the tires on her car.,Mary.,Mary dog tired dog Mary Mary.,makes herself a coffee.,4,4,4,"['car', 'mary', 'mary', 'coffee']",2,2,"[' changes', ' Mary', ' dog', ' makes']",2,2,"['changes', 'Mary', 'tired', 'coffee']"
1719,o,Some animals have a symbiotic relationship with other species. A puppy and a lion,is one example of this unique relationship.,"do not, though.",love to cuddle.,are codependent on each other for survival.,2,1,2,"['relationship', 'though', 'cuddle', 'codependent']",4,2,"[' unique', ' do', ' love', ' cod']",2,2,"['unique', 'though', 'cuddle', 'codependent']"
1720,i,"It's raining cats and dogs. John,","cats and dogs, John.",buys cats and dogs.,buys a cat and dog.,goes inside to get shelter.,4,1,3,"['john', 'buys', 'dog', 'shelter']",1,1,"[' cats', ' buys', ' buys', ' goes']",1,1,"['John', 'buys', 'buys', 'inside']"
1721,o,The surgeon went to the store. The surgeon,performed surgery.,checked my heart rate.,talked to a nurse.,bought groceries.,4,3,3,"['surgery', 'rate', 'nurse', 'groceries']",3,2,"[' performed', ' checked', ' talked', ' groceries']",1,1,"['surgery', 'rate', 'a', 'groceries']"
1722,o,Some animals are naturally prey and some are naturally predators. Rats,often prey on little children.,are a type of dish soap.,are often hunted by cats.,are predators known to hunt prey.,3,3,3,"['children', 'soap', 'cats', 'prey']",3,3,"[' little', ' dish', ' cats', ' known']",2,2,"['prey', 'a', 'hunted', 'predators']"
1723,i,"The doctors needed to put the horse out before its surgery. Thus,",they gave it a frisbee.,they gave it horse.,they gave it tranquilizer.,they gave it horse doctor.,3,2,4,"['frisbee', 'horse', 'tranquilizer', 'doctor']",1,2,"[' fr', ' horse', ' tranquil', ' doctor']",2,2,"['frisbee', 'horse', 'tranquilizer', 'horse']"
1724,o,The desert is home to many different species of animals. A penguin,is one of these species.,thrives in the heat of the desert.,cannot survive in these conditions.,wears a tuxedo at all times.,3,2,1,"['species', 'thrives', 'conditions', 'tuxedo']",1,1,"[' these', ' thri', ' cannot', ' wears']",1,1,"['one', 'thrives', 'conditions', 'tuxedo']"
1725,i,"Steve and his friends got pulled over by a cop and Steve lights a joint in front of the cop. Steve,",cop the joint.,sprints forward.,opened a can of worms.,"got pulled over, friends, cop.",3,3,1,"['joint', 'sprints', 'worms', 'cop']",4,4,"[' cop', ' sprint', ' opened', ' friends']",4,4,"['joint', 'sprints', 'worms', 'friends']"
1726,o,There are a few days out of the week that are considered the weekend. Monday,is one of them.,is not one of them.,is the first day of the weekend.,is the last day of the weekend.,2,3,3,"['them', 'them', 'weekend', 'weekend']",4,4,"[' one', ' not', ' weekend', ' weekend']",3,3,"['them', 'them', 'weekend', 'weekend']"
1727,i,"Steve, came to work in a bad mood and started an argument with his boss' boss. Steve,","cop, steve, boss, and work.",catches the frisbee.,opened a can of worms.,"boss, steve, and boss.",3,3,4,"['work', 'frisbee', 'worms', 'boss']",3,4,"[' cop', ' catches', ' opened', ' ste']",4,3,"['steve', 'frisbee', 'worms', 'steve']"
1728,i,"Chad, figured out how he could have a successful career and be a good dad, Chad,",has an unsuccessful career.,"career, Chad, dad, figured out.",has the best of both worlds.,is a bad dad.,3,1,1,"['career', 'chad', 'worlds', 'dad']",3,3,"[' unsuccessful', ' career', ' has', ' bad']",1,1,"['unsuccessful', 'Chad', 'worlds', 'a']"
1729,o,Suzy reached the exam centre on time. She,danced her way to her room.,bought tofu for the night's dinner,met her friends at the gate.,went back home from the centre,3,3,3,"['room', 'tofu', 'gate', 'centre']",1,3,"[' danced', ' tofu', ' met', ' centre']",4,4,"['danced', 'tofu', 'gate', 'centre']"
1730,o,Pablo calls running slurping. If Pablo is not slurping he could be,Jogging,Sprinting,doing cardio.,Sitting,4,4,4,"['jogging', 'sprinting', 'cardio', 'sitting']",2,1,"[' J', ' Sprint', ' cardio', ' Sitting']",3,3,"['Jogging', 'Sprinting', 'cardio', 'Sitting']"
1731,o,"The glass of water is half filled, so",the glass is half empty.,the glass is empty.,the water is not there.,the glass is broken.,1,2,2,"['empty', 'empty', 'there', 'broken']",1,1,"[' glass', ' empty', ' there', ' broken']",1,2,"['empty', 'empty', 'there', 'broken']"
1732,o,Andrew hates calling his mom Mom. He calls her,Carrot,Mom,Carol,Broccoli,3,2,2,"['carrot', 'mom', 'carol', 'broccoli']",2,2,"[' Car', ' Mom', ' Carol', ' Bro']",2,2,"['Carrot', 'Mom', 'Carol', 'Broccoli']"
1733,o,"To confuse parents, teenagers call drinking studying. If the teenagers study then they could be",studious,educated,drunk,learning,3,3,3,"['studious', 'educated', 'drunk', 'learning']",3,3,"[' stud', ' educated', ' drunk', ' learning']",3,3,"['studious', 'educated', 'drunk', 'learning']"
1734,o,Teenagers confuse parents by calling drinking studying. If the students are not studying they are,Curling,Drunk,Jumping,Sober,4,2,2,"['curling', 'drunk', 'jumping', 'sober']",2,2,"[' Cur', ' Drunk', ' Jump', ' So']",2,2,"['Curling', 'Drunk', 'Jumping', 'Sober']"
1735,o,Tacoing means moving. If I don't taco I could be,jumping,sitting,running,walking,2,3,3,"['jumping', 'sitting', 'running', 'walking']",2,2,"[' jumping', ' sitting', ' running', ' walking']",4,4,"['jumping', 'sitting', 'running', 'walking']"
1736,o,The boy thought he bought his a dad a brand new office chair for christmas. The boy,took the chair apart.,set the chair on fire.,realized it was used.,painted the chair.,3,2,4,"['apart', 'fire', 'used', 'chair']",2,1,"[' apart', ' set', ' used', ' painted']",2,2,"['apart', 'fire', 'used', 'painted']"
1737,o,I cooked rice. Then I,Put coffee in my rice.,put water in my rice.,Cook the rice again.,cook chicken to eat with my rice.,4,2,2,"['rice', 'rice', 'again', 'rice']",2,2,"[' Put', ' water', ' Cook', ' cook']",2,2,"['Put', 'water', 'Cook', 'eat']"
1738,o,The waitress at a diner opens her laptop. She,eats an apple.,wears a hat.,checks her email.,serves a burger.,3,3,1,"['apple', 'hat', 'email', 'burger']",3,3,"[' eats', ' wears', ' checks', ' serves']",3,3,"['eats', 'hat', 'email', 'burger']"
1739,o,The student is at the store and wants to buy lotion. The student,has an exam tomorrow.,looks in the cosmetics aisle.,buys apples.,opens his books and studies.,2,4,4,"['tomorrow', 'aisle', 'apples', 'studies']",2,1,"[' exam', ' cosmetics', ' apples', ' studies']",4,1,"['tomorrow', 'cosmetics', 'buys', 'opens']"
1740,o,The man could barely see the car in front of him during rush hour. The man,is driving in the rain.,reverses his car.,has bad hearing.,has great vision.,1,1,1,"['rain', 'reverses', 'hearing', 'vision']",1,1,"[' driving', ' revers', ' bad', ' great']",1,4,"['is', 'reverses', 'bad', 'great']"
1741,o,I take my phone out of my pocket. I,put my phone in my pocket.,jailbreak my phone.,watch a video on my phone.,write on my phone using a color pencil.,3,1,1,"['pocket', 'jailbreak', 'phone', 'pencil']",1,1,"[' put', ' jail', ' watch', ' using']",1,1,"['put', 'jailbreak', 'a', 'a']"
1742,o,"Rose, May, and George are running a race. Rose is ahead of May, and May is ahead of George. George",is in the lead.,is ahead of Rose.,is ahead of May.,is trailing behind.,4,1,1,"['lead', 'rose', 'may', 'behind']",2,3,"[' in', ' Rose', ' May', ' trailing']",3,3,"['lead', 'Rose', 'is', 'trailing']"
1743,o,"Joseph, Henry, and Jack all have different hair colors. Henry has red hair, Jack has brown hair, and Joseph",has brown hair.,has red hair.,has hair.,has black hair.,4,1,3,"['hair', 'hair', 'hair', 'hair']",4,4,"[' brown', ' red', ' hair', ' black']",1,1,"['brown', 'red', 'hair', 'black']"
1744,o,I take my dog on a walk. I,Drink coffee.,Climb a tree.,Walk around the block.,Bark and growl.,3,3,3,"['coffee', 'tree', 'block', 'growl']",2,3,"[' Drink', ' Cl', ' Walk', ' Bark']",3,3,"['Drink', 'Climb', 'Walk', 'growl']"
1745,o,"The three sisters all have different hair colors. The eldest sister has black hair, the middle sister has red hair, and the youngest sister",has black hair.,has blond hair.,has hair.,has red hair.,2,1,3,"['hair', 'hair', 'hair', 'hair']",4,1,"[' black', ' blond', ' hair', ' red']",4,4,"['black', 'blond', 'hair', 'red']"
1746,o,The boys could barely take their eyes off the football game on the television. The boys,turned the television off.,hate football.,changed the channel.,were cheering for the Bears.,4,4,3,"['off', 'football', 'channel', 'bears']",1,1,"[' turned', ' hate', ' changed', ' cheering']",1,1,"['turned', 'hate', 'changed', 'Bears']"
1747,i,Books like this are a dime a dozen. These books,have very rich authors,sell really well.,are very common.,are worth a lot of money.,3,4,3,"['authors', 'well', 'common', 'money']",4,4,"[' authors', ' sell', ' common', ' worth']",3,2,"['rich', 'sell', 'common', 'a']"
1748,o,The dad could barely hide his excitement at his son's baseball game. The dad,is looking at his phone.,was cheering.,left the game.,dislikes baseball.,2,1,3,"['phone', 'cheering', 'game', 'dislikes']",1,1,"[' is', ' cheering', ' left', ' disl']",3,3,"['phone', 'cheering', 'left', 'dislikes']"
1749,o,A father puts his baby in a stroller. The baby,falls peacefully asleep.,causes the stroller to collapse under her immense weight.,pushes the carriage.,is ten years old.,1,2,3,"['asleep', 'stroller', 'carriage', 'old']",4,3,"[' peacefully', ' causes', ' carriage', ' ten']",4,4,"['peacefully', 'stroller', 'pushes', 'ten']"
1750,o,The boy is happily listening to music as he walks to class. The boy,hates music.,is listening to a podcast.,is listening to pop music.,turns off the music.,3,4,4,"['music', 'podcast', 'music', 'music']",3,4,"[' hates', ' podcast', ' pop', ' turns']",3,4,"['hates', 'a', 'listening', 'turns']"
1751,o,A toddler is just beginning to take her first steps. She,is also learning how to bike.,runs a mile.,feels ready to go hiking.,still wobbles on her feet.,4,1,2,"['bike', 'mile', 'hiking', 'wobbles']",1,2,"[' bike', ' runs', ' hiking', ' wob']",1,3,"['bike', 'a', 'hiking', 'wobbles']"
1752,o,The girl is reluctantly doing her homework in the library. The girl,does not understand the content.,is in a good mood.,loves doing homework.,is an exceptional student.,1,1,4,"['content', 'mood', 'homework', 'student']",2,2,"[' content', ' good', ' loves', ' exceptional']",1,1,"['content', 'a', 'loves', 'exceptional']"
1753,o,A toddler utters her first words in front of her adoring parents. She,plans to become a motivational speaker next.,berates them for their parenting ideology.,is ten years old.,then giggles gleefully.,4,3,3,"['motivational', 'ideology', 'old', 'gleefully']",3,1,"[' plans', ' ber', ' ten', ' gle']",3,3,"['motivational', 'berates', 'ten', 'gleefully']"
1754,o,The runner is barely able to catch her breath after running three miles. The runner,wants to run another race.,drinks water.,starts to sprint again.,has a lot of energy.,2,4,4,"['race', 'water', 'again', 'energy']",4,4,"[' wants', ' drinks', ' sprint', ' lot']",1,1,"['another', 'drinks', 'sprint', 'a']"
1755,o,"I love all animals, that is why",I hate dogs.,I do not love dogs.,I hate cats.,I like dogs.,4,2,1,"['dogs', 'dogs', 'cats', 'dogs']",4,4,"[' hate', ' love', ' hate', ' dogs']",2,2,"['hate', 'dogs', 'hate', 'dogs']"
1756,o,The man jumps out of the boat to cool off from the heat. The man,starts to swim.,does not like the water.,is wearing normal clothes.,thinks the weather is cold.,1,2,2,"['swim', 'water', 'clothes', 'cold']",2,2,"[' swim', ' like', ' normal', ' thinks']",2,2,"['swim', 'like', 'normal', 'thinks']"
1757,o,We concluded from our research that water could be the cause for third world war. We,should keep the taps open always,never close a running tap,should use every drop of water cautiously,can use water as we want,3,4,4,"['always', 'tap', 'cautiously', 'want']",4,4,"[' always', ' close', ' cautiously', ' we']",4,4,"['taps', 'a', 'cautiously', 'want']"
1758,r,An elderly man is sitting with his grandchildren at the dining table. He,remembers the feeling of being young with fondness.,is too young to understand the importance of family.,is learning arithmetic in elementary school.,begins crying for his parents to feed him.,1,2,2,"['fondness', 'family', 'school', 'him']",2,2,"[' fond', ' too', ' arithmetic', ' feed']",2,2,"['fondness', 'family', 'arithmetic', 'begins']"
1759,o,The students sit down to take their exam. They,examine the bench.,study the relationship between sitting and standing.,get out their pencils and put away their textbooks.,examine the different vegetables in the garden.,3,4,4,"['bench', 'standing', 'pencils', 'garden']",3,3,"[' bench', ' sitting', ' away', ' vegetables']",2,4,"['bench', 'standing', 'pencils', 'vegetables']"
1760,o,"Jerome asked me to stop pouring honey on his pancakes, because",Thanksgiving is Jerome's favorite holiday.,honey is illegal.,he does not want honey on his pancakes.,he loves honey on his pancakes.,3,3,2,"['jeromes', 'illegal', 'pancakes', 'pancakes']",3,3,"[' Jerome', ' illegal', ' does', ' on']",2,2,"['Jeromes', 'illegal', 'he', 'he']"
1761,r,John and Mary sit down with their children at the dining table. John,is learning arithmetic in school.,begins crying to be fed.,is too young to learn table manners.,has cooked mashed potatoes for the family.,4,3,1,"['school', 'fed', 'manners', 'mashed']",4,2,"[' arithmetic', ' crying', ' table', ' mashed']",4,2,"['arithmetic', 'fed', 'manners', 'mashed']"
1762,o,The boss almost fired a few of his employees as they were goofing off in the office. The boss,gave them another chance.,asked them to leave the building.,fired the employees on the spot.,thought they were being funny.,1,2,2,"['chance', 'building', 'spot', 'funny']",2,2,"[' gave', ' asked', ' fired', ' thought']",2,3,"['another', 'building', 'spot', 'funny']"
1763,p,"Sally begged Todd not to bring a toaster with him into the tub, because",Todd celebrates Christmas in July.,Sally did not want the toaster to get wet.,she is afraid of water.,he might be electrocuted.,4,2,3,"['july', 'wet', 'water', 'electrocuted']",2,2,"[' celebrates', ' Sally', ' water', ' elect']",3,3,"['celebrates', 'toaster', 'water', 'electrocuted']"
1764,o,My water bottle has no water. I,spill water from my water bottle.,go to the store.,drink from my water bottle.,pour water in my water bottle.,4,2,2,"['bottle', 'store', 'bottle', 'bottle']",3,3,"[' spill', ' go', ' drink', ' pour']",3,2,"['spill', 'store', 'from', 'pour']"
1765,r,I run into my physical therapist at a cafe. My physical therapist,is giving a session.,gives me an injury.,is my patient.,is getting coffee.,4,1,4,"['session', 'injury', 'patient', 'coffee']",3,3,"[' giving', ' injury', ' patient', ' coffee']",2,3,"['a', 'injury', 'patient', 'coffee']"
