,Unnamed: 0,type,startphrase,ending1,ending2,ending3,ending4,label,gpt2-large_average_surprisal_prediction,gpt2-large_max_word_surprisal_prediction,gpt2-large_max_words_each_ending,bert-large-uncased_average_surprisal_prediction,bert-large-uncased_max_word_surprisal_prediction,bert-large-uncased_max_words_each_ending,t5-large_average_surprisal_prediction,t5-large_max_word_surprisal_prediction,t5-large_max_words_each_ending
1465,1465,o,A squirrel is in a tree. The squirrel,is a dog,climbs the social ladder,lives there,treats people with disrespect,3,1,1,"[' dog', ' social', ' lives', ' treats']",1,1,"['dog', 'ladder', 'there', 'disrespect']",1,3,"['a', 'social', 'there', 'disrespect']"
1466,1466,o,Martha is making dinner. Martha,goes to mount everest,marinates the entree,cooks up a fresh track in the studio,starts a fire,2,4,4,"[' eve', ' mar', ' track', ' starts']",3,3,"['everest', 'entree', 'track', 'fire']",4,4,"['everest', 'marinates', 'cooks', 'a']"
1467,1467,o,I tried to maintain the facade that I had not lost my job. My father,saw through the ruse.,offered to give me his hammock.,told me to walk our three-headed dog.,took my temperature with telekinesis.,1,1,1,"[' saw', ' hamm', ' our', ' tele']",1,1,"['ruse', 'hammock', 'threeheaded', 'telekinesis']",2,2,"['ruse', 'hammock', 'threeheaded', 'telekinesis']"
1468,1468,o,Heat greatly accelerates the deterioration of perishable foods. They,become fresh.,make the heat more perishable.,make the heat spreads faster.,can't be eaten any more.,4,4,4,"[' fresh', ' heat', ' spreads', ' any']",3,1,"['fresh', 'perishable', 'faster', 'cant']",4,1,"['fresh', 'perishable', 'spreads', 'cant']"
1469,1469,i,I scared my friend by suddenly tapping her on the shoulder. She,jumped out of her skin.,was like a bull in a china shop.,called the mafia.,threw me 600 feet away.,1,2,1,"[' jumped', ' bull', ' mafia', ' 600']",1,3,"['skin', 'shop', 'mafia', 'away']",1,2,"['jumped', 'a', 'mafia', 'threw']"
1470,1470,o,"According to all known laws of aviation, there is no way that a bee should be able to fly. The bee",laments its fate by drowning its sorrows in alcohol.,does away with the institution of flight through democracy.,contacts its representatives to change the laws of aviation.,"of course, flies anyway.",4,4,4,"[' l', ' institution', ' contacts', ' of']",3,3,"['laments', 'democracy', 'aviation', 'anyway']",3,2,"['laments', 'institution', 'representatives', 'flies']"
1471,1471,o,We learned about the Squeeze Theorem in class today. It,showed me how to do the wave.,is extremely useful in literature analysis.,taught me how to squeeze an orange.,has applications in function limits.,4,3,1,"['.', ' literature', ' taught', ' function']",3,1,"['wave', 'analysis', 'orange', 'limits']",3,3,"['wave', 'analysis', 'me', 'limits']"
1472,1472,o,We learned about Toricelli's Trumpet in class today. It,goes very well with pizza.,sounds very impressive in an orchestra.,has infinite surface area but finite volume.,"needed some polish, but otherwise looked beautiful.",3,2,2,"[' pizza', ' an', ' infinite', ' needed']",2,2,"['pizza', 'orchestra', 'volume', 'beautiful']",2,2,"['pizza', 'sounds', 'finite', 'otherwise']"
1473,1473,o,"The boy likes reading books, but non-fictions only. He",likes reading anything.,likes sciences.,likes machine learning.,likes reading fictions a lot.,2,4,1,"[' anything', ' sciences', ' machine', ' f']",4,4,"['anything', 'sciences', 'learning', 'fictions']",1,1,"['likes', 'sciences', 'machine', 'fictions']"
1474,1474,o,What is the difference between USA and USB? One of them,"connects to all your devices & accesses your data, and the other is a hardware standard.",is located in the Southern Hemisphere.,is based on the communist society popularized by the USSR.,was created by John Intel in 1336.,1,2,1,"[' access', ' Southern', ' popular', ' Intel']",1,3,"['accesses', 'hemisphere', 'ussr', '1336']",1,4,"['accesses', 'Hemisphere', 'popularized', '1336']"
1475,1475,o,I was chopping a tree when my coworker finally showed up late. I,told him to put his phaser to stun.,caught him with an inflatable pool under his arm.,asked him to fetch me something to drink.,asked him to log any complaints coming from Narnia.,3,3,3,"[' ph', ' under', ' fetch', ' N']",3,3,"['stun', 'inflatable', 'drink', 'narnia']",3,3,"['phaser', 'arm', 'fetch', 'Narnia']"
1476,1476,o,I woke up in a cold sweat in the middle of the night. I,decided not to eat any more Krabby Patties before bed.,washed my face and drank some water.,"asked my imaginary friend, Dr. Dolittle, if I had a fever.",merged onto the highway.,2,3,2,"[' Kr', ' washed', ' imaginary', ' merged']",4,4,"['krabby', 'water', 'dolittle', 'highway']",4,4,"['Krabby', 'drank', 'Dolittle', 'merged']"
1477,1477,o,"The boy likes playing games, but non-violent only. He",likes sciences.,likes cool violent characters in games.,likes machine learning.,listens what his parents told him not to do.,4,4,4,"[' sciences', ' violent', ' machine', ' what']",2,2,"['sciences', 'cool', 'learning', 'listens']",4,2,"['sciences', 'cool', 'machine', 'listens']"
1478,1478,o,My partners and I came across a campsite in the forest. It,called the Minister of Defense for unlawful activities.,was home to a colony of turtles and their king.,was hot so we roasted some sharks to eat.,"was extremely messy, so we cleaned it up.",4,4,4,"[' unlawful', ' home', ' sharks', ' messy']",2,3,"['activities', 'king', 'sharks', 'up']",4,4,"['unlawful', 'king', 'sharks', 'up']"
1479,1479,o,Martha is making breakfast. Martha,eggs her house,cooks up a hot track in the studio,beats some eggs,eggs her kitchen,3,2,3,"[' eggs', ' track', ' beats', ' eggs']",2,2,"['house', 'track', 'eggs', 'kitchen']",3,4,"['eggs', 'cooks', 'beats', 'eggs']"
1480,1480,o,Mandy plays soccer. Mandy,is the goal keeper,kicks the sun,kicks diego out of the bar,is a dog,1,1,4,"[' goal', ' sun', ' die', ' dog']",3,3,"['keeper', 'sun', 'diego', 'dog']",1,1,"['keeper', 'kicks', 'diego', 'a']"
1481,1481,o,"The boy likes riding bikes, but only at places near home. He","likes riding bikes in random places like in mountains, and not near home.",feels unsafe at far places.,likes machine learning.,likes sciences.,2,1,2,"[' mountains', ' far', ' machine', ' sciences']",1,2,"['home', 'places', 'learning', 'sciences']",2,2,"['random', 'far', 'machine', 'sciences']"
1482,1482,o,There was a fly in my soup. I,bought a new pair of soup shoes.,asked for another helping of gelato.,was too shy to say anything.,watched my soup fly away.,3,3,3,"[' shoes', ' gel', ' shy', ' watched']",3,3,"['shoes', 'gelato', 'anything', 'away']",3,3,"['a', 'gelato', 'anything', 'away']"
1483,1483,o,I made a new universal classifier. It,classified the XOR function despite being a linear classifier.,"gets 100% accuracy on every single dataset, whether it be training, validation, or test.",is the best classifier at both specific cases and the general case.,"was not used by any Machine Learning group, because they did not believe me.",4,2,2,"[' despite', ' gets', ' specific', ' Machine']",4,4,"['classifier', 'dataset', 'case', 'me']",4,2,"['XOR', 'dataset', 'classifier', 'Learning']"
1484,1484,n,"The boy bullies others, but only those he does not know.",likes psychology.,likes machine learning.,is afraid of other people knowing his act.,likes bullying those he knows.,3,4,3,"[' likes', ' likes', ' is', ' likes']",3,4,"['psychology', 'learning', 'act', 'bullying']",3,3,"['likes', 'likes', 'act', 'likes']"
1485,1485,o,A man is walking on the street. He,is making a noise.,starts sprinting toward a car.,is holding a gun.,is trying to spot his Uber.,4,3,3,"[' making', ' sprint', ' holding', ' Uber']",3,3,"['noise', 'sprinting', 'gun', 'uber']",4,4,"['a', 'sprinting', 'a', 'Uber']"
1486,1486,o,A flock of geese soar through the air. They,fly straight into the sun.,start crashing into each other.,attack the clouds.,follow the leader to their next destination.,4,1,1,"[' straight', ' crashing', ' clouds', ' follow']",1,1,"['sun', 'other', 'clouds', 'destination']",4,1,"['straight', 'crashing', 'attack', 'leader']"
1487,1487,o,I applied to Northwestern University. They,offered to pay for my tuition in full provided I solved P vs. NP by the end of my undergraduate studies.,accepted me because I bought the rights to the land where the University is located.,accepted me because I stood out from the other applicants.,accepted me because I had the exact same DNA as one of the original founders.,3,3,4,"[' P', ' bought', ' stood', ' DNA']",4,1,"['studies', 'located', 'applicants', 'founders']",3,3,"['vs', 'rights', 'the', 'founders']"
1488,1488,o,A girl is trying a violin. Her mother,is watching her play.,is talking on the phone.,is yelling at her.,is waiting at the car.,1,2,1,"[' watching', ' talking', ' yelling', ' waiting']",2,4,"['play', 'phone', 'her', 'car']",2,1,"['play', 'phone', 'yelling', 'car']"
1489,1489,n,He loves his mom so much. He,loves his dogs,would leave his mom alone,won't leave his mom alone,loves dogs,3,3,2,"[' dogs', ' leave', ' won', ' dogs']",2,1,"['dogs', 'alone', 'alone', 'dogs']",2,2,"['dogs', 'alone', 'wont', 'dogs']"
1490,1490,o,A man is running up the hill. He,looks at the pond.,notices a UFO.,is smoking a cigarette.,notices a dead rat.,4,3,4,"[' pond', ' UFO', ' smoking', ' dead']",3,3,"['pond', 'ufo', 'cigarette', 'rat']",3,3,"['pond', 'UFO', 'a', 'rat']"
1491,1491,p,Steve the crane was my favorite pet. He always,had many different operators.,could move large amounts of metal.,was operated by skillful workers.,stood on one leg.,4,4,4,"[' operators', ' could', ' operated', ' one']",2,2,"['operators', 'metal', 'skillful', 'leg']",2,2,"['operators', 'metal', 'skillful', 'leg']"
1492,1492,o,A man is observing his laptop screen. He,is reading an article from the Wall Street Journal website.,gets called by his wife for breakfast.,gets tackled by a police officer,gets hits by a truck while crossing the street,1,1,1,"[' website', ' called', ' tackled', ' hits']",4,4,"['website', 'breakfast', 'officer', 'hits']",1,1,"['website', 'breakfast', 'tackled', 'a']"
1493,1493,o,A man is running on a track inside the forest. He,gets hit by a truck while crossing the street.,accepts a job offer.,gets beaten up by monkeys.,adjusts his earphones.,4,1,1,"[' while', ' accepts', ' beaten', ' adjusts']",1,1,"['street', 'offer', 'monkeys', 'earphones']",1,1,"['a', 'accepts', 'beaten', 'earphones']"
1494,1494,o,A man is at the Apple Store. He,is waiting at the Genius Bar for a repair service.,is looking at a rainbow.,is inspecting the car's paint,seems troubled.,1,1,1,"[' Genius', ' rainbow', ' inspecting', ' troubled']",2,3,"['service', 'rainbow', 'paint', 'troubled']",2,2,"['Genius', 'a', 'inspecting', 'troubled']"
1495,1495,o,Mr. Brown invited me to join a party. Mr. Brown,could play basketball very well.,don't know what to do.,is willing to play the piano.,would leave in a few days.,4,4,4,"[' play', ' don', ' willing', ' leave']",3,3,"['well', 'dont', 'piano', 'days']",3,3,"['basketball', 'dont', 'willing', 'a']"
1496,1496,r,Lily whispers a secret into Mandy's ear. Mandy,gasps in disbelief.,tells her a story about lightbulbs.,shouts about penguins.,kicks Lily in the face.,1,4,1,"[' gas', ' light', ' pengu', ' kicks']",4,4,"['disbelief', 'lightbulbs', 'penguins', 'face']",4,4,"['disbelief', 'lightbulbs', 'penguins', 'Lily']"
1497,1497,o,I live in a high-rise apartment building in New York City with a computer-controlled elevator. I always,use the voice control to select my destination.,dislike the wooden creaking when I go up the high-rise.,pull the elevator up with the rope.,use the crank to move the elevator up.,1,4,1,"[' voice', ' wooden', ' rope', ' crank']",3,1,"['destination', 'highrise', 'rope', 'up']",4,1,"['destination', 'creaking', 'rope', 'crank']"
1498,1498,o,A hungry boy is greeted by a very friendly man. The boy,is told to stop being hungry by the man.,is given food and some money by the man.,is told to get lost by the man.,is harassed by the man.,2,2,2,"[' stop', ' some', ' lost', ' harassed']",1,1,"['man', 'man', 'man', 'man']",2,1,"['hungry', 'money', 'lost', 'harassed']"
1499,1499,o,A wealthy and altruistic man is walking down the street when he sees a hungry boy. The man,kicks the hungry boy down the street.,orders his bodyguards to beat up the hungry boy.,offers the boy food and some money.,tells the hungry boy to stop being hungry.,3,3,4,"[' kicks', ' orders', ' some', ' tells']",1,1,"['kicks', 'boy', 'money', 'hungry']",3,3,"['kicks', 'bodyguards', 'money', 'tells']"
1500,1500,o,A man is walking on the park with his daughter on a beautiful day. He,pulls out his phone from his trousers.,helps his girl to get on the swing.,opens the trunk of his car.,gazes into void and contemplates how the weather is so bad.,2,3,3,"[' trousers', ' helps', ' opens', ' void']",3,2,"['trousers', 'swing', 'car', 'contemplates']",3,3,"['trousers', 'helps', 'opens', 'contemplates']"
1501,1501,o,I just got my new smart phone and love it. Whenever I make a call,I can cancel it from my smartwatch if I want.,I cannot connect to the network.,I spin the dial to find each number.,a dog picks up the phone.,1,1,2,"[' cancel', ' connect', ' spin', ' dog']",4,4,"['smartwatch', 'network', 'number', 'dog']",2,2,"['smartwatch', 'cannot', 'each', 'a']"
1502,1502,o,A person lies in bed. The person,is ready to sleep,thinks about his life,is dead,eats an ice cream,1,1,2,"[' ready', ' thinks', ' dead', ' eats']",2,1,"['sleep', 'life', 'dead', 'cream']",1,1,"['ready', 'thinks', 'dead', 'eats']"
1503,1503,o,"The boy likes animals, but only invertebrates. He",likes pigs.,likes vertebrates.,likes spiders.,likes elephants.,3,3,3,"[' pigs', ' verte', ' spiders', ' elephants']",4,4,"['pigs', 'vertebrates', 'spiders', 'elephants']",3,3,"['pigs', 'vertebrates', 'spiders', 'elephants']"
1504,1504,o,"The boy likes Sherlock Holmes, but not Arthur Conan Doyle. He",likes violence.,likes machine learning.,likes novels that consumes brain power.,likes Arthur Conan Doyle.,3,4,4,"[' violence', ' machine', ' consumes', ' Arthur']",4,1,"['violence', 'learning', 'consumes', 'doyle']",4,2,"['violence', 'machine', 'consumes', 'Conan']"
1505,1505,o,There is a green plant on the table. The plant,is on a large ceramic pot.,kills a young bunny.,is carnivorous plant that eats insects.,has dark red leaves that stuns the man as he walks past it.,1,1,1,"[' ceramic', ' kills', ' carniv', ' stun']",1,1,"['pot', 'bunny', 'carnivorous', 'stuns']",1,1,"['a', 'bunny', 'carnivorous', 'stuns']"
1506,1506,o,Three students are sitting in the lobby of Library before the finals week. They,are playing a video game on the newly setup Nintendo Wii.,are discussing the reason why they are alive.,are playing hide and seek.,are watching the protesters that are furiously marching.,1,3,3,"[' newly', ' alive', ' hide', ' protesters']",3,3,"['wii', 'alive', 'seek', 'marching']",3,3,"['Wii', 'alive', 'hide', 'furiously']"
1507,1507,p,I love listening to metal bands. Last summer,I finally got to go to a real concert.,I sat by a construction site all week.,I listened to steel compactors consistently.,I spent my time searching through a dictionary that described different metal types.,1,1,1,"[' real', ' construction', ' compact', ' dictionary']",1,2,"['concert', 'week', 'compactors', 'types']",4,4,"['a', 'sat', 'compactors', 'a']"
1508,1508,o,A group of EECS students are given a coding assignment. They,immediately start talking about dropping.,open their laptops and start coding for some other project.,take out some papers and start writing encrypted messages.,"each have a look at it, then start their own planning on how to approach the problem.",4,4,2,"[' dropping', ' open', ' encrypted', ' planning']",4,4,"['dropping', 'project', 'encrypted', 'problem']",2,2,"['dropping', 'laptops', 'encrypted', 'a']"
1509,1509,o,The professor glances hopelessly around the room. The students,are all eating apples.,are all listening intently.,are all furiously scribbling notes.,are all texting.,4,2,2,"[' apples', ' listening', ' furiously', ' texting']",2,2,"['apples', 'intently', 'scribbling', 'texting']",1,1,"['apples', 'intently', 'scribbling', 'texting']"
1510,1510,o,A man with a green parka is walking down the street on a cold day. He,puts on his sunglasses while walking around the swimming pool.,takes of his blue jacket.,watches people happily swimming in the lake.,runs toward the shuttle in a hasty manner.,4,1,2,"[' swimming', ' of', ' happily', ' shuttle']",1,3,"['pool', 'of', 'happily', 'manner']",1,1,"['sunglasses', 'blue', 'happily', 'hasty']"
1511,1511,p,After finding the mine I declared it as mine. Later,I sold the property to a more experienced operator.,I called the number on the poster asking for its location.,I returned the goods to the lost and found.,I took the bounty to the sheriff.,1,1,2,"[' more', ' poster', ' lost', ' bounty']",2,4,"['operator', 'location', 'found', 'sheriff']",3,3,"['a', 'poster', 'goods', 'sheriff']"
1512,1512,o,Jean Claude is talking to his son. He,is talking about the potential of the Quantum Computation in a seminar.,is asking if he needs help with his work.,is describing the reason why the American Society is confused about the upcoming elections.,starts violently hitting his child.,2,2,2,"[' Quantum', ' asking', ' confused', ' violently']",2,2,"['seminar', 'work', 'elections', 'child']",2,2,"['Computation', 'he', 'upcoming', 'violently']"
1513,1513,p,My friends and I love playing squash. It is,a tasty vegetable.,great fun to pick.,a vegetable with many different shapes and sizes.,a great form of low impact cardio.,4,4,2,"[' tasty', '.', ' vegetable', ' low']",3,3,"['tasty', 'pick', 'vegetable', 'cardio']",4,2,"['a', 'pick', 'a', 'a']"
1514,1514,o,The elephant is one of the biggest animals in the world. The elephant,is crying,is lazy,is yelling,is heavy,4,4,4,"[' crying', ' lazy', ' yelling', ' heavy']",1,1,"['crying', 'lazy', 'yelling', 'heavy']",4,4,"['crying', 'lazy', 'yelling', 'heavy']"
1515,1515,p,Jim has a crush on Pam. Jim,crushes her with a rock,crushes a soda can on her forehead,kills her,asks her out on a date,4,4,4,"[' cr', ' cr', ' kills', ' asks']",4,4,"['crushes', 'forehead', 'her', 'date']",4,4,"['crushes', 'crushes', 'kills', 'a']"
1516,1516,o,I told my dog to fetch me some water from the fridge. She,just curled up next to my chair.,gave me a disparaging look.,"did fetch me water, albeit slowly.",took herself out on a walk.,1,1,1,"[' curled', ' dispar', ' fetch', ' herself']",1,1,"['chair', 'disparaging', 'slowly', 'walk']",4,4,"['curled', 'disparaging', 'albeit', 'a']"
1517,1517,o,JD is at a restaurant. JD,asks for a cup of uranium,puts his napkin on his nap,fills his backpack with sword,orders the rock,2,2,2,"[' uranium', ' nap', ' sword', ' rock']",1,4,"['uranium', 'nap', 'sword', 'rock']",2,4,"['uranium', 'napkin', 'fills', 'rock']"
1518,1518,o,A book is sitting on the counter of the kitchen. It,doesn't look like it's ever been opened.,is a beautiful kitchen.,was just placed there earlier.,jumps through the hoops.,1,1,1,"[' doesn', ' kitchen', ' earlier', ' jumps']",2,2,"['opened', 'kitchen', 'earlier', 'hoops']",1,3,"['doesnt', 'a', 'earlier', 'hoops']"
1519,1519,o,Derrick is a school teacher. Derrick,organizes a coup,grades papers,teaches dolphins how to fly,teaches giraffes math,2,3,1,"[' organ', ' grades', ' dolphins', ' gir']",3,3,"['coup', 'papers', 'fly', 'giraffes']",3,2,"['organizes', 'grades', 'dolphins', 'giraffes']"
1520,1520,o,A girl is sitting by the lake eating ice cream. She,lets the ice cream melt.,throws the ice cream in the lake.,really likes winter.,waits for her friend to join her.,4,2,2,"[' lets', ' throws', ' winter', ' waits']",2,2,"['melt', 'lake', 'winter', 'her']",4,3,"['ice', 'throws', 'winter', 'waits']"
1521,1521,o,Jerimiah plans a birthday. Jerimiah,lights everything on fire,orders air,is a dog,books a clown,4,3,3,"[' everything', ' air', ' dog', ' clown']",3,3,"['fire', 'air', 'dog', 'clown']",1,1,"['everything', 'air', 'a', 'a']"
1522,1522,o,"A telephone was ringing in the darkness — a tinny, unfamiliar ring. The telephone",doesn't exist,was picked up by no one,may have cried all night,flew as high as possible,2,2,2,"[' doesn', ' no', ' cried', ' flew']",2,3,"['doesnt', 'one', 'cried', 'possible']",2,2,"['doesnt', 'no', 'cried', 'flew']"
1523,1523,o,The girl's dad is mowing the lawn. He,hits a squirrel with the mower.,wants to run her over.,is setting the lawn on fire.,thinks she should help her.,4,1,4,"[' hits', ' run', ' setting', ' thinks']",2,2,"['mower', 'over', 'fire', 'her']",3,2,"['a', 'over', 'fire', 'thinks']"
1524,1524,o,A musician is sitting on stage singing and playing the guitar. He,really hates music.,has a really bad voice.,feels the energy of the audience.,eats his guitar.,3,3,3,"[' really', ' really', ' feels', ' eats']",3,1,"['music', 'voice', 'audience', 'guitar']",3,3,"['hates', 'a', 'feels', 'eats']"
1525,1525,o,A woman takes her violin out of the case. The violin,needs the desperate attention to be restored.,rests under the chin of the woman.,has 6 strings.,is a prized Stradivarius Violin that many can not afford.,2,2,2,"[' desperate', ' under', ' 6', ' Str']",2,3,"['restored', 'woman', 'strings', 'stradivarius']",3,3,"['desperate', 'chin', '6', 'Stradivarius']"
1526,1526,o,A woman picks up the cup from the sink. She,reads the documentation sheet.,pours acid in it and drinks it.,violently throws the cup to the floor.,starts washing it under hot water.,4,3,4,"[' documentation', ' acid', ' violently', ' under']",3,3,"['sheet', 'it', 'floor', 'water']",4,4,"['reads', 'acid', 'violently', 'washing']"
1527,1527,i,a person jumps on the bandwagon. The person,picks the hottest field to study,then jumps off,breaks their foot,goes for a ride,1,2,2,"[' field', ' jumps', ' breaks', ' goes']",4,3,"['study', 'off', 'foot', 'ride']",3,3,"['hottest', 'jumps', 'breaks', 'a']"
1528,1528,o,A dog wags its tale in front of its owner. It,looks like a fish.,gets stabbed by a man.,gets to play with a police officer.,wants to play with its owner.,4,4,4,"[' fish', ' stabbed', ' police', ' wants']",4,2,"['fish', 'man', 'officer', 'owner']",4,4,"['a', 'stabbed', 'a', 'wants']"
1529,1529,i,How she spent her money was a hot potato. It,was hot to touch,was eaten quickly,was a potato that was hot that she bought,was discussed often,4,3,4,"[' hot', ' eaten', ' potato', ' discussed']",3,1,"['touch', 'quickly', 'bought', 'often']",3,1,"['touch', 'eaten', 'a', 'discussed']"
1530,1530,i,We were beating around the bush. We,hurt the bush,were making music in the forest,didn't want to talk about it,hit each other around a tree,3,3,3,"[' hurt', ' music', ' talk', ' hit']",2,2,"['bush', 'forest', 'didnt', 'tree']",2,2,"['hurt', 'music', 'didnt', 'a']"
1531,1531,i,Carl bit off more than he could chew. He,had more food to eat,had some hot dog left,couldn't handle the issue,had finished his meal,3,3,1,"[' food', ' hot', ' issue', ' finished']",1,1,"['more', 'left', 'couldnt', 'meal']",1,4,"['eat', 'left', 'couldnt', 'meal']"
1532,1532,n,Fertilizer will accelerate the growth of these tomato plants. Tomato,growth speed will not be slower.,will not take advantage of the fertilizer.,will make the fertilizer grow faster.,will not be fertilized.,1,2,1,"[' slower', ' will', ' will', ' will']",1,1,"['slower', 'fertilizer', 'fertilizer', 'fertilized']",1,1,"['speed', 'fertilizer', 'fertilizer', 'fertilized']"
1533,1533,i,Don't put all your eggs in one basket. You should,place them separately,keep them in a nest,put them in different baskets,Leave yourself options,4,3,3,"[' place', ' nest', ' put', ' Leave']",2,2,"['separately', 'nest', 'baskets', 'options']",3,1,"['separately', 'a', 'baskets', 'Leave']"
1534,1534,i,A person keeps beating a dead horse. The person,uses a bat to do the deed,is getting annoying,is a cruel sadistic individual,would not let a bad idea go,4,4,4,"[' bat', ' annoying', ' cruel', ' bad']",1,1,"['deed', 'annoying', 'individual', 'go']",2,2,"['deed', 'annoying', 'sadistic', 'idea']"
1535,1535,i,Jane was in the heat of the moment. Jane,was overwhelmed,was on fire,felt really hot,putting food in the oven,1,2,2,"[' overwhelmed', ' fire', ' really', ' putting']",4,4,"['overwhelmed', 'fire', 'hot', 'oven']",2,3,"['overwhelmed', 'fire', 'really', 'putting']"
1536,1536,i,Susan declared that this was the last straw. She,was going to use it to drink,held the straw,had one straw left,Fed up with the situation,4,1,2,"[' drink', ' straw', ' straw', ' Fed']",1,4,"['drink', 'straw', 'left', 'situation']",1,1,"['drink', 'straw', 'left', 'Fed']"
1537,1537,i,John wouldn't be caught dead doing that. He,would be caught alive,be caught in a trap,hates that stuff,would be killed,3,1,1,"[' alive', ' be', ' hates', ' killed']",2,2,"['alive', 'trap', 'stuff', 'killed']",4,1,"['caught', 'a', 'hates', 'killed']"
1538,1538,i,Judy went the whole nine yards. She,did everything and more for the job,moved nine yards,ran all nine of the yards,scored a touchdown,1,4,3,"[' job', ' nine', ' nine', ' scored']",3,3,"['job', 'yards', 'yards', 'touchdown']",3,3,"['more', 'moved', 'ran', 'a']"
1539,1539,i,John let the cat out of the bag. John,revealed his secret,wanted the cat to go outside,released the cat from the bag it was hiding in,took the cat out of its cage,1,3,4,"[' revealed', ' John', ' released', ' John']",3,4,"['secret', 'outside', 'in', 'cage']",2,1,"['revealed', 'outside', 'hiding', 'took']"
1540,1540,o,A one-legged person climbs a mountain. The person,grows a second leg.,places a flag at the peak.,buys a Christmas present.,takes a shower.,2,1,4,"[' grows', ' places', ' buys', ' shower']",2,2,"['leg', 'peak', 'present', 'shower']",2,2,"['a', 'a', 'buys', 'a']"
1541,1541,i,Dane decided to go hit the hay. Dane,punched the hay,was very upset with the hay,went to sleep,smashed hay at the barn,3,3,3,"[' punched', ' hay', ' went', ' smashed']",2,4,"['hay', 'hay', 'sleep', 'barn']",3,3,"['punched', 'hay', 'sleep', 'smashed']"
1542,1542,i,Jenny needed to kick her habits. Jenny,left the habits with a bruise,wanted to beat up her habits,assaulted her habits,had some nervous ticks to get over,4,2,2,"[' habits', ' beat', ' assaulted', ' nervous']",2,4,"['bruise', 'habits', 'habits', 'over']",2,2,"['habits', 'beat', 'assaulted', 'ticks']"
1543,1543,i,A girl keeps on pulling my leg. The girl,then tries to pull my arm,then pulls my other leg,needs to learn how to be honest,wants to play,3,1,4,"[' then', ' then', ' needs', ' wants']",3,1,"['arm', 'leg', 'honest', 'play']",3,4,"['tries', 'pulls', 'honest', 'play']"
1544,1544,i,"An old man says ""It's raining cats and dogs."" The old man is",eating soup.,doing yoga.,holding an umbrella.,walking backwards.,3,3,3,"[' eating', ' doing', ' holding', ' walking']",3,3,"['soup', 'yoga', 'umbrella', 'backwards']",3,3,"['soup', 'yoga', 'holding', 'backwards']"
1545,1545,i,What Josh said put Kenny in stitches. Kenny,needed to go to the hospital,thought it was really funny,was hurt by Josh,needed to get stitches from the doctor,2,1,2,"[' needed', ' really', ' hurt', ' stitches']",1,1,"['hospital', 'funny', 'josh', 'stitches']",1,1,"['needed', 'really', 'hurt', 'doctor']"
1546,1546,r,A girl walks her dog around her neighborhood. She…,then laps up water from the faucet,then goes to the park,wags her tail,catches the frisbee in her mouth,2,1,2,"[' laps', ' then', ' w', ' catches']",2,2,"['faucet', 'park', 'wags', 'frisbee']",2,2,"['laps', 'then', 'wags', 'frisbee']"
1547,1547,n,The temperature in Chicago is very cold. The temperature,should be higher in winter,should be lower in summer,should not affect by season,is different in summer and winter,4,4,1,"[' should', ' should', ' by', ' different']",4,1,"['winter', 'summer', 'season', 'winter']",4,4,"['winter', 'summer', 'season', 'different']"
1548,1548,p,Johnny was just chilling on the porch. Johnny,was shaking in the low temperature,was in the process of freezing,was relaxing,was starting to get cold,3,2,3,"[' low', ' freezing', ' relaxing', ' starting']",4,4,"['temperature', 'freezing', 'relaxing', 'cold']",4,4,"['shaking', 'freezing', 'relaxing', 'starting']"
1549,1549,i,The friend decides to break the ice with a stranger. he,starts smashing away at the ice with his new friend,takes a fork out and sits down at a table,gets his ice pick ready,asks him about his hobbies,4,4,4,"[' smashing', ' he', ' ice', ' hobbies']",1,2,"['friend', 'table', 'ready', 'hobbies']",4,4,"['smashing', 'fork', 'ice', 'asks']"
1550,1550,i,"For the date, both of them decided to go Dutch. They",became Dutch,wanted to learn the Dutch language,Were from the Netherlands,paid for their own meals,4,2,2,"[' became', ' learn', ' Were', ' paid']",3,3,"['dutch', 'language', 'netherlands', 'meals']",2,2,"['became', 'wanted', 'Were', 'meals']"
1551,1551,i,Kevin kept an eye on the oven. Kevin,placed his eye on top of the oven,Left his eyeball on the oven,kept watch of the food in the oven,just kept staring at the oven,3,4,3,"[' top', ' Left', ' watch', ' just']",3,3,"['oven', 'eyeball', 'oven', 'oven']",3,3,"['top', 'eyeball', 'watch', 'staring']"
1552,1552,o,We are playing monopoly and it is my turn. I,roll the dice.,play my videogames.,dribble the ball and score.,curl up near the fire.,1,3,1,"[' roll', ' videog', ' drib', ' curl']",4,1,"['dice', 'videogames', 'dribble', 'fire']",1,1,"['dice', 'videogames', 'dribble', 'fire']"
1553,1553,i,Jenny was giving Johnny the cold shoulder. Jenny,gifted Johnny her low temperature shoulder,placed her cold shoulder onto Johnny,wouldn't talk to him,cut off her freezing shoulder and gave it to Johnny,3,3,3,"[' gifted', ' placed', ' wouldn', ' freezing']",4,4,"['shoulder', 'johnny', 'wouldnt', 'johnny']",2,2,"['gifted', 'placed', 'wouldnt', 'freezing']"
1554,1554,n,He does not want to hurt his girlfriend. He,punched his girlfriend,fights to his girlfriend,lied to his girlfriend,rides a horse,3,3,3,"[' punched', ' fights', ' lied', ' rides']",4,4,"['girlfriend', 'girlfriend', 'girlfriend', 'horse']",4,4,"['punched', 'fights', 'lied', 'a']"
